   129     -1   1346 1.028178E-04 1.028178E-04 4.849742E-06 1.975680E-16 0.000000E+00
   130   1330      0 2.800000E-06 2.800000E-06 2.057571E-05 4.609920E-16 0.000000E+00
   131     -1   1298 2.535508E-05 2.535508E-05 8.400000E-06 4.390400E-16 0.000000E+00
   132   1294      0 2.800000E-06 2.800000E-06 1.680000E-05 8.122240E-16 0.000000E+00
   133   1287      0 2.800000E-06 2.800000E-06 1.680000E-05 8.122240E-16 0.000000E+00
   134   1283      0 2.800000E-06 2.800000E-06 1.680000E-05 8.122240E-16 0.000000E+00
   135   1267      0 2.566242E-05 2.566242E-05 5.600000E-06 1.975680E-16 0.000000E+00
   136   1251      0 5.760329E-05 5.760329E-05 2.800000E-06 2.195200E-17 0.000000E+00
   137   1244      0 4.583670E-05 4.583670E-05 8.400000E-06 2.195200E-17 0.000000E+00
   138   1231      0 2.936665E-05 2.936665E-05 5.600000E-06 1.975680E-16 0.000000E+00
   139   1219      0 2.257432E-05 2.257432E-05 2.800000E-06 6.585600E-17 0.000000E+00
   140   1215      0 2.800000E-06 2.800000E-06 1.632667E-05 6.366080E-16 0.000000E+00
   141   1214      0 2.800000E-06 2.800000E-06 1.792875E-05 4.609920E-16 0.000000E+00
   142     -1   1209 2.800000E-06 2.800000E-06 1.632667E-05 6.366080E-16 0.000000E+00
   143   1208      0 2.800000E-06 2.800000E-06 2.375879E-05 5.488000E-16 0.000000E+00
   144     -1   1205 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   145   1204      0 2.800000E-06 2.800000E-06 1.878297E-05 6.366080E-16 0.000000E+00
   146     -1   1202 2.596613E-05 2.596613E-05 4.849742E-06 1.756160E-16 0.000000E+00
   147   1199      0 3.365156E-05 3.365156E-05 5.600000E-06 1.975680E-16 0.000000E+00
   148   1191      0 5.323462E-05 5.323462E-05 3.959798E-06 1.097600E-16 0.000000E+00
   149     -1   1190 3.359192E-05 3.359192E-05 3.959798E-06 8.780800E-17 0.000000E+00
   150   1177      0 2.057571E-05 2.057571E-05 5.600000E-06 1.975680E-16 0.000000E+00
   151   1136      0 7.481746E-05 7.481746E-05 8.400000E-06 2.195200E-17 0.000000E+00
   152   1131      0 2.800000E-06 2.800000E-06 1.507846E-05 2.853760E-16 0.000000E+00
   153   1130      0 2.800000E-06 2.800000E-06 1.608478E-05 5.488000E-16 0.000000E+00
   154   1129      0 1.021931E-04 1.021931E-04 2.800000E-06 2.195200E-17 0.000000E+00
   155   1121      0 4.849045E-05 4.849045E-05 7.919596E-06 2.634240E-16 0.000000E+00
   156     -1   1095 2.596613E-05 2.596613E-05 3.959798E-06 6.585600E-17 0.000000E+00
   157     -1   1093 5.140303E-05 5.140303E-05 6.260990E-06 1.097600E-16 0.000000E+00
   158     -1   1075 1.726036E-05 1.726036E-05 3.959798E-06 1.097600E-16 0.000000E+00
   159   1070      0 2.800000E-06 2.800000E-06 1.507846E-05 2.853760E-16 0.000000E+00
   160   1037      0 1.878297E-05 1.878297E-05 5.600000E-06 2.195200E-17 0.000000E+00
   161   1036      0 2.800000E-06 2.800000E-06 1.814607E-05 4.609920E-16 0.000000E+00
   162   1031      0 2.855451E-05 2.855451E-05 1.283121E-05 4.609920E-16 0.000000E+00
   163   1019      0 2.800000E-06 2.800000E-06 1.680000E-05 2.195200E-17 0.000000E+00
   164     -1   1018 2.800000E-06 2.800000E-06 1.878297E-05 6.366080E-16 0.000000E+00
   165   1015      0 9.040346E-05 9.040346E-05 5.600000E-06 1.975680E-16 0.000000E+00
   166     -1   1005 2.800000E-06 2.800000E-06 1.400000E-05 2.195200E-17 0.000000E+00
   167     -1    993 3.463409E-05 3.463409E-05 5.600000E-06 1.975680E-16 0.000000E+00
   168    987      0 2.800000E-06 2.800000E-06 1.400000E-05 6.366080E-16 0.000000E+00
   169     -1    970 2.800000E-06 2.800000E-06 1.400000E-05 6.366080E-16 0.000000E+00
   170     -1    963 2.800000E-06 2.800000E-06 1.680000E-05 8.122240E-16 0.000000E+00
   171    960      0 1.979899E-05 1.979899E-05 3.959798E-06 6.585600E-17 0.000000E+00
   172    946      0 1.726036E-05 1.726036E-05 3.959798E-06 8.780800E-17 0.000000E+00
   173     -1    943 2.800000E-06 2.800000E-06 1.371714E-05 5.488000E-16 0.000000E+00
   174    931      0 2.800000E-06 2.800000E-06 1.400000E-05 6.366080E-16 0.000000E+00
   175    924      0 2.800000E-06 2.800000E-06 2.057571E-05 4.609920E-16 0.000000E+00
   176    903      0 1.979899E-05 1.979899E-05 2.800000E-06 1.097600E-16 0.000000E+00
   177    899      0 2.478732E-05 2.478732E-05 5.600000E-06 2.195200E-17 0.000000E+00
   178     -1    898 2.882776E-05 2.882776E-05 7.919596E-06 2.634240E-16 0.000000E+00
   179     -1    893 2.800000E-06 2.800000E-06 1.283121E-05 4.609920E-16 0.000000E+00
   180    880      0 2.057571E-05 2.057571E-05 8.400000E-06 2.195200E-17 0.000000E+00
   181    879      0 2.800000E-06 2.800000E-06 1.960000E-05 9.878400E-16 0.000000E+00
   182    866      0 2.800000E-06 2.800000E-06 1.400000E-05 6.366080E-16 0.000000E+00
   183     -1    862 2.800000E-06 2.800000E-06 1.400000E-05 6.146560E-16 0.000000E+00
   184     -1    860 2.456990E-05 2.456990E-05 5.600000E-06 1.975680E-16 0.000000E+00
   185     -1    858 2.800000E-06 2.800000E-06 1.814607E-05 4.609920E-16 0.000000E+00
   186    850      0 2.800000E-06 2.800000E-06 1.252198E-05 2.853760E-16 0.000000E+00
   187     -1    837 2.800000E-06 2.800000E-06 1.400000E-05 6.366080E-16 0.000000E+00
   188    819      0 2.800000E-06 2.800000E-06 1.252198E-05 2.853760E-16 0.000000E+00
   189    798      0 2.456990E-05 2.456990E-05 3.959798E-06 6.585600E-17 0.000000E+00
   190    775      0 2.800000E-06 2.800000E-06 1.187939E-05 1.975680E-16 0.000000E+00
   191    769      0 2.555510E-05 2.555510E-05 3.959798E-06 6.585600E-17 0.000000E+00
   192     -1    761 2.800000E-06 2.800000E-06 1.154470E-05 1.097600E-16 0.000000E+00
   193     -1    760 2.800000E-06 2.800000E-06 1.313316E-05 4.609920E-16 0.000000E+00
   194    757      0 2.800000E-06 2.800000E-06 1.154470E-05 1.097600E-16 0.000000E+00
   195    743      0 2.800000E-06 2.800000E-06 1.154470E-05 1.097600E-16 0.000000E+00
   196    739      0 2.800000E-06 2.800000E-06 1.583919E-05 4.609920E-16 0.000000E+00
   197     -1    734 2.800000E-06 2.800000E-06 1.371714E-05 5.488000E-16 0.000000E+00
   198     -1    728 2.800000E-06 2.800000E-06 1.120000E-05 4.609920E-16 0.000000E+00
   199    727      0 2.800000E-06 2.800000E-06 1.120000E-05 4.609920E-16 0.000000E+00
   200    725      0 2.800000E-06 2.800000E-06 1.120000E-05 4.609920E-16 0.000000E+00
   201     -1    723 2.800000E-06 2.800000E-06 1.120000E-05 4.609920E-16 0.000000E+00
   202    722      0 2.057571E-05 2.057571E-05 5.600000E-06 2.195200E-17 0.000000E+00
   203     -1    721 2.800000E-06 2.800000E-06 1.120000E-05 4.609920E-16 0.000000E+00
   204     -1    706 2.800000E-06 2.800000E-06 1.680000E-05 8.122240E-16 0.000000E+00
   205     -1    702 1.507846E-05 1.507846E-05 5.600000E-06 1.975680E-16 0.000000E+00
   206     -1    699 1.507846E-05 1.507846E-05 4.849742E-06 1.756160E-16 0.000000E+00
   207     -1    672 2.800000E-06 2.800000E-06 1.047664E-05 4.609920E-16 0.000000E+00
   208     -1    663 2.800000E-06 2.800000E-06 1.047664E-05 4.609920E-16 0.000000E+00
   209     -1    662 2.800000E-06 2.800000E-06 1.454923E-05 1.975680E-16 0.000000E+00
   210     -1    646 2.800000E-06 2.800000E-06 1.047664E-05 4.609920E-16 0.000000E+00
   211     -1    644 2.800000E-06 2.800000E-06 1.632667E-05 6.366080E-16 0.000000E+00
   212     -1    632 2.800000E-06 2.800000E-06 1.009554E-05 2.853760E-16 0.000000E+00
   213     -1    625 2.800000E-06 2.800000E-06 1.009554E-05 2.853760E-16 0.000000E+00
   214    621      0 2.800000E-06 2.800000E-06 1.009554E-05 2.853760E-16 0.000000E+00
   215    620      0 4.096655E-05 4.096655E-05 2.800000E-06 2.195200E-17 0.000000E+00
   216     -1    614 2.800000E-06 2.800000E-06 1.154470E-05 1.097600E-16 0.000000E+00
